observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
c4f46fa0,PA001_H2RXHO05109538,e88f45ba,PA001_H2RXHO05109538_ev77,2025-07-21T23:11:10-09:00,2025-07-21T23:11:10-09:00,media,human,,test,2,adult,female,running,,,,,,,,,,,,,,not much
e3db1a34,PA001_H2RXHO05109538,30ccbb19,PA001_H2RXHO05109538_ev77,2025-07-21T23:11:11-09:00,2025-07-21T23:11:11-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
be577c39,PA001_H2RXHO05109538,7d9f863e,PA001_H2RXHO05109538_ev77,2025-07-21T23:11:11-09:00,2025-07-21T23:11:11-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
875cc45f,PA001_H2RXHO05109538,f95b80d5,PA001_H2RXHO05109538_ev78,2025-07-21T23:11:14-09:00,2025-07-21T23:11:14-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
6cf27f01,PA001_H2RXHO05109538,87e405d5,PA001_H2RXHO05109538_ev79,2025-07-22T02:26:16-09:00,2025-07-22T02:26:16-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
95737286,PA001_H2RXHO05109538,6247d27b,PA001_H2RXHO05109538_ev79,2025-07-22T02:26:17-09:00,2025-07-22T02:26:17-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
844cc6ff,PA001_H2RXHO05109538,d9d2b263,PA001_H2RXHO05109538_ev79,2025-07-22T02:26:17-09:00,2025-07-22T02:26:17-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
2355816f,PA001_H2RXHO05109538,ddea2103,PA001_H2RXHO05109538_ev80,2025-07-22T02:26:18-09:00,2025-07-22T02:26:18-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
b065c33d,PA001_H2RXHO05109538,89210b74,PA001_H2RXHO05109538_ev80,2025-07-22T02:26:19-09:00,2025-07-22T02:26:19-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
6babc5e7,PA001_H2RXHO05109538,65656d08,PA001_H2RXHO05109538_ev80,2025-07-22T02:26:19-09:00,2025-07-22T02:26:19-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
a3943641,PA001_H2RXHO05109538,78d88da5,PA001_H2RXHO05109538_ev81,2025-07-22T02:26:20-09:00,2025-07-22T02:26:20-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
a5886eb0,PA001_H2RXHO05109538,b1285d1a,PA001_H2RXHO05109538_ev81,2025-07-22T02:26:21-09:00,2025-07-22T02:26:21-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
a75a0fb3,PA001_H2RXHO05109538,28214a0b,PA001_H2RXHO05109538_ev82,2025-07-22T02:26:56-09:00,2025-07-22T02:26:56-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
16366fd0,PA001_H2RXHO05109538,07025197,PA001_H2RXHO05109538_ev82,2025-07-22T02:26:57-09:00,2025-07-22T02:26:57-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
ba939449,PA001_H2RXHO05109538,36c3f6c0,PA001_H2RXHO05109538_ev82,2025-07-22T02:26:57-09:00,2025-07-22T02:26:57-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
4733088a,PA001_H2RXHO05109538,6270cb8e,PA001_H2RXHO05109538_ev83,2025-07-22T02:26:58-09:00,2025-07-22T02:26:58-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
fdd91894,PA001_H2RXHO05109538,8b0b1c26,PA001_H2RXHO05109538_ev83,2025-07-22T02:26:59-09:00,2025-07-22T02:26:59-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
46fba485,PA001_H2RXHO05109538,e360b36d,PA001_H2RXHO05109538_ev84,2025-07-22T02:27:26-09:00,2025-07-22T02:27:26-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
9aa76ce5,PA001_H2RXHO05109538,bb41fed7,PA001_H2RXHO05109538_ev85,2025-07-22T05:57:19-09:00,2025-07-22T05:57:19-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
2df41250,PA001_H2RXHO05109538,62265db0,PA001_H2RXHO05109538_ev85,2025-07-22T05:57:20-09:00,2025-07-22T05:57:20-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
fded7ce8,PA001_H2RXHO05109538,4db00ee2,PA001_H2RXHO05109538_ev85,2025-07-22T05:57:20-09:00,2025-07-22T05:57:20-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
aba35fc2,PA001_H2RXHO05109538,5f873d91,PA001_H2RXHO05109538_ev148,2025-07-23T02:59:07-09:00,2025-07-23T02:59:07-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
e0fa3df0,PA001_H2RXHO05109538,2b7c7340,PA001_H2RXHO05109538_ev148,2025-07-23T02:59:08-09:00,2025-07-23T02:59:08-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
ac6a4484,PA001_H2RXHO05109538,de28d774,PA001_H2RXHO05109538_ev148,2025-07-23T02:59:08-09:00,2025-07-23T02:59:08-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
ae9f07c3,PA001_H2RXHO05109538,11d5f89c,PA001_H2RXHO05109538_ev149,2025-07-23T02:59:09-09:00,2025-07-23T02:59:09-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
6f21809a,PA001_H2RXHO05109538,00f6f936,PA001_H2RXHO05109538_ev149,2025-07-23T02:59:10-09:00,2025-07-23T02:59:10-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
56e62eee,PA001_H2RXHO05109538,b8919587,PA001_H2RXHO05109538_ev149,2025-07-23T02:59:11-09:00,2025-07-23T02:59:11-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
6f6afb32,PA001_H2RXHO05109538,b64b116a,PA001_H2RXHO05109538_ev150,2025-07-23T05:43:00-09:00,2025-07-23T05:43:00-09:00,media,unclassified,,,,,,,,,,,,,,,,,,,,
